Author - 97gushan :  first commit  :  2019-10-09
Author - ADSL :  first commit  :  2017-03-09
Author - Abhyudaya Sharma :  first commit  :  2018-12-21
Author - Adam Wolf :  first commit  :  2014-03-05
Author - Adrian Cole :  first commit  :  2012-02-21
Author - Adrien Gallou :  first commit  :  2012-04-12
Author - Adrien Lecharpentier :  first commit  :  2017-11-10
Author - Aitor Alzola :  first commit  :  2011-09-22
Author - Akshay Dayal :  first commit  :  2015-04-17
Author - Alberto Gragera :  first commit  :  2012-06-22
Author - Aleksandar Đuričin :  first commit  :  2016-09-19
Author - Aleksas :  first commit  :  2013-01-23
Author - Aleksas Pielikis :  first commit  :  2013-01-24
Author - Alessandro Menti :  first commit  :  2017-10-02
Author - Alexandre Garnier :  first commit  :  2010-11-26
Author - Alex Bertram :  first commit  :  2015-01-26
Author - Alex Earl :  first commit  :  2011-06-29
Author - Alex Lehmann :  first commit  :  2012-03-01
Author - Alexander Akbashev :  first commit  :  2017-11-16
Author - Alexander Shopov :  first commit  :  2015-10-13
Author - Alexandre Garnier :  first commit  :  2010-11-26
Author - Alexandre Vanhecke :  first commit  :  2019-07-24
Author - Alfonso Cora :  first commit  :  2012-09-21
Author - Allan Burdajewicz :  first commit  :  2015-12-21
Author - Alon Bar-Lev :  first commit  :  2018-01-03
Author - Alvaro Lobato :  first commit  :  2016-07-02
Author - Amaury :  first commit  :  2014-09-22
Author - Anders Hammar :  first commit  :  2014-08-14
Author - Anders Kindberg :  first commit  :  2013-12-10
Author - Andre Miranda :  first commit  :  2015-05-18
Author - Andrea Scarpino :  first commit  :  2019-10-05
Author - Andres Rodriguez :  first commit  :  2016-01-11
Author - Andrew Bayer :  first commit  :  2011-01-30
Author - Andrew Erickson :  first commit  :  2012-08-06
Author - Andrew J. Erickson :  first commit  :  2012-09-14
Author - Andrew Kiellor :  first commit  :  2013-10-04
Author - Andrew Mann :  first commit  :  2013-03-25
Author - Andrew Stone :  first commit  :  2012-03-21
Author - Andrey Klochkov :  first commit  :  2013-03-21
Author - Andrey Myatlyuk :  first commit  :  2012-06-22
Author - Andreyev Dias de Melo :  first commit  :  2013-01-02
Author - Andrius Štikonas :  first commit  :  2019-01-10
Author - André Twupack :  first commit  :  2011-02-11
Author - Anish Dangi :  first commit  :  2019-03-07
Author - Antonio Muñiz :  first commit  :  2015-08-18
Author - Antonio Muñiz :  first commit  :  2015-08-18
Author - Arcadiy Ivanov :  first commit  :  2014-10-18
Author - Ari Hyttinen :  first commit  :  2013-05-22
Author - Ariel Peltz :  first commit  :  2012-05-17
Author - Arnaud Heritier :  first commit  :  2016-03-25
Author - Arnaud Héritier :  first commit  :  2011-01-03
Author - Artem V. Navrotskiy :  first commit  :  2019-07-09
Author - Aurelie Salles :  first commit  :  2017-03-09
Author - Baptiste Mathus :  first commit  :  2011-08-31
Author - Baptiste Mille-Mathias :  first commit  :  2015-02-26
Author - Bartosz Kaszubowski :  first commit  :  2014-07-02
Author - Basil Crow :  first commit  :  2019-01-31
Author - Ben Gamari :  first commit  :  2017-05-29
Author - Ben McCann :  first commit  :  2014-08-10
Author - Ben Parees :  first commit  :  2014-02-20
Author - Benjamin Cabé :  first commit  :  2011-05-03
Author - Benjamin Herbert :  first commit  :  2015-08-10
Author - Bernard Leach :  first commit  :  2013-06-13
Author - Bernie Schelberg :  first commit  :  2015-01-06
Author - Bjoern Kasteleiner :  first commit  :  2013-06-15
Author - Boris :  first commit  :  2015-05-19
Author - Brad Trimby :  first commit  :  2011-02-02
Author - Brendan Nolan :  first commit  :  2017-02-14
Author - Brian Atkinson :  first commit  :  2011-02-02
Author - Bruno Kühnen Meneguello :  first commit  :  2013-11-14
Author - Bruno P. Kinoshita :  first commit  :  2012-04-03
Author - Bráulio Bezerra :  first commit  :  2013-08-26
Author - Carbenium :  first commit  :  2015-10-14
Author - Carl Quinn :  first commit  :  2012-05-23
Author - Carlos Sanchez :  first commit  :  2015-07-03
Author - Chris Arnott :  first commit  :  2013-12-03
Author - Christian Wolfgang :  first commit  :  2011-05-13
Author - Christoffer Sawicki :  first commit  :  2016-03-12
Author - Christoph Kutzinski :  first commit  :  2011-03-14
Author - Christopher Orr :  first commit  :  2011-05-17
Author - Christopher Simons :  first commit  :  2015-10-05
Author - Ciprian Ciubotariu :  first commit  :  2011-09-09
Author - Claudiu Guiman :  first commit  :  2017-02-03
Author - Cliff Maury :  first commit  :  2011-12-30
Author - Cliffano Subagio :  first commit  :  2012-05-18
Author - CloudBees DEV@Cloud :  first commit  :  2013-08-26
Author - Craig Rodrigues :  first commit  :  2014-08-31
Author - Curt Moore :  first commit  :  2017-07-13
Author - Cyrille Le Clerc :  first commit  :  2014-11-12
Author - Damian Szczepanik :  first commit  :  2016-01-16
Author - Damien Finck :  first commit  :  2013-05-23
Author - Damien Nozay :  first commit  :  2014-10-08
Author - Daniel Beck :  first commit  :  2013-07-18
Author - Daniel Khodaparast :  first commit  :  2013-01-02
Author - Daniel Spilker :  first commit  :  2015-01-08
Author - Daniel Trebbien :  first commit  :  2017-12-27
Author - Daniel Weber :  first commit  :  2015-06-14
Author - Darryl Pogue :  first commit  :  2014-10-10
Author - Dave Brosius :  first commit  :  2011-02-05
Author - David Alberto :  first commit  :  2015-07-03
Author - David Hoover :  first commit  :  2014-11-21
Author - David M. Carr :  first commit  :  2011-10-26
Author - David Olorundare :  first commit  :  2018-12-23
Author - David Ruhmann :  first commit  :  2014-08-15
Author - David Rutqvist :  first commit  :  2016-10-09
Author - David Strauss :  first commit  :  2011-02-20
Author - Dean Yu :  first commit  :  2011-09-01
Author - Devin Nusbaum :  first commit  :  2017-10-13
Author - Dillon Amburgey :  first commit  :  2012-07-23
Author - Dirk Pahl :  first commit  :  2011-01-21
Author - Dirk Thomas :  first commit  :  2016-09-01
Author - Dominic Mitchell :  first commit  :  2011-06-05
Author - Dominik Bartholdi :  first commit  :  2011-10-26
Author - Dominique :  first commit  :  2014-09-04
Author - Donny Nadolny :  first commit  :  2013-05-02
Author - Doug Alcouffe :  first commit  :  2015-05-30
Author - Drew Repasky :  first commit  :  2011-07-30
Author - Ed Bartosh :  first commit  :  2012-02-10
Author - Edmund Wong :  first commit  :  2013-11-08
Author - Egor18 :  first commit  :  2019-08-21
Author - Eito Katagiri :  first commit  :  2015-07-18
Author - Emilio Escobar :  first commit  :  2016-02-05
Author - Emmanuel Bourg :  first commit  :  2014-09-23
Author - Eric Weikl :  first commit  :  2013-06-15
Author - Eric Yu :  first commit  :  2018-06-27
Author - Erik Lindblad :  first commit  :  2012-03-09
Author - Erik Molekamp :  first commit  :  2012-09-24
Author - Erik Ramfelt :  first commit  :  2011-07-08
Author - Erwan de FERRIERES :  first commit  :  2011-04-28
Author - Esa Laine :  first commit  :  2012-08-14
Author - Esther Alvarez Feijoo :  first commit  :  2020-03-12
Author - Eugene Baranov :  first commit  :  2014-11-30
Author - Evaristo Gutiérrez :  first commit  :  2017-04-04
Author - Evgeny Mandrikov :  first commit  :  2011-04-25
Author - FLOCHLAY Sebastien :  first commit  :  2017-03-09
Author - Federico Pellegrin :  first commit  :  2019-11-25
Author - Felix Belzunce Arcos :  first commit  :  2014-12-22
Author - Fernando Boaglio :  first commit  :  2013-12-08
Author - Félix Belzunce Arcos :  first commit  :  2017-04-28
Author - Filipe Roque :  first commit  :  2014-07-23
Author - Flavio Costa :  first commit  :  2011-09-13
Author - Francisco Javier Fernandez Gonzalez :  first commit  :  2017-11-29
Author - Francisco Ruiz :  first commit  :  2013-05-31
Author - Fred G :  first commit  :  2011-03-27
Author - Freddie Vargus :  first commit  :  2015-03-17
Author - Fritz Elfert :  first commit  :  2015-10-09
Author - Frolov Dmitry :  first commit  :  2017-04-17
Author - Félix Queiruga :  first commit  :  2019-11-08
Author - GLundh :  first commit  :  2010-06-22
Author - Gabriel Lavoie :  first commit  :  2019-08-27
Author - Galo Navarro :  first commit  :  2013-03-01
Author - Gavin Mogan :  first commit  :  2018-12-06
Author - George Gastaldi :  first commit  :  2015-08-13
Author - George Shakhnazaryan :  first commit  :  2012-02-21
Author - Gili Tzabari :  first commit  :  2013-09-18
Author - Giulio D'Ambrosi :  first commit  :  2011-12-03
Author - Glöckle Bastian :  first commit  :  2013-07-03
Author - Greg Albrecht :  first commit  :  2013-12-11
Author - Greg Inozemtsev :  first commit  :  2013-12-03
Author - Greg Temchenko :  first commit  :  2012-02-29
Author - Grogdunn :  first commit  :  2015-03-05
Author - Gunnar Wrobel :  first commit  :  2010-04-09
Author - Gustaf Lundh :  first commit  :  2018-05-31
Author - Hans-Joachim Kliemeck :  first commit  :  2013-10-23
Author - Harald Albers :  first commit  :  2012-11-27
Author - Hayato ITO :  first commit  :  2012-01-17
Author - Hendrik Millner :  first commit  :  2013-01-15
Author - Hervé Boutemy :  first commit  :  2013-11-30
Author - Hiroshi Saito :  first commit  :  2012-11-08
Author - Holger Voormann :  first commit  :  2014-11-05
Author - Hughes, Wilfred (London) :  first commit  :  2015-01-14
Author - Ian Hopkins :  first commit  :  2013-10-02
Author - IanKemp :  first commit  :  2012-05-22
Author - Idan Bidani :  first commit  :  2013-12-07
Author - Ignacio Albors :  first commit  :  2011-12-20
Author - Ilya Zasimov :  first commit  :  2017-10-28
Author - Imran Hayder :  first commit  :  2015-02-05
Author - Inetov :  first commit  :  2018-11-23
Author - Ing. Pavel Janousek :  first commit  :  2015-05-07
Author - Ingo Richter :  first commit  :  2011-10-20
Author - Ivan Fernandez Calvo :  first commit  :  2016-04-14
Author - JTSweet :  first commit  :  2015-04-21
Author - Jakub Štiller :  first commit  :  2012-02-20
Author - James Byers :  first commit  :  2013-06-14
Author - James Martinez :  first commit  :  2013-01-26
Author - James Nord :  first commit  :  2010-12-06
Author - James Page :  first commit  :  2012-01-06
Author - Jan Vansteenkiste :  first commit  :  2018-02-12
Author - Jan Štourač :  first commit  :  2016-02-06
Author - Janick Reynders :  first commit  :  2011-02-03
Author - Jean Blanchard :  first commit  :  2014-04-15
Author - Jean-Baptiste Le Duigou :  first commit  :  2020-02-18
Author - Jean-Philippe Briend :  first commit  :  2016-04-13
Author - Jeff MAURY :  first commit  :  2012-09-17
Author - Jeff Thompson :  first commit  :  2018-05-04
Author - Jenkins admin :  first commit  :  2012-10-17
Author - Jenn Briden :  first commit  :  2018-05-14
Author - Jens Brejner :  first commit  :  2014-01-15
Author - Jens Hausherr :  first commit  :  2013-09-03
